Date,Open,High,Low,Close,Adj Close,Volume
2015-10-27,158.580002,162.119995,157.830002,161.979996,139.101089,3877200
2015-10-28,162.720001,162.869995,158.729996,162.669998,139.693634,4878900
2015-10-29,164.990005,165.000000,158.940002,160.580002,137.898834,4870200
2015-10-30,161.059998,162.000000,158.130005,158.179993,135.837814,4589700
2015-11-02,159.009995,162.750000,158.369995,162.309998,139.384476,3222500
2015-11-03,160.970001,163.149994,160.500000,162.460007,139.513336,2411500
2015-11-04,162.850006,163.990005,160.770004,161.880005,139.015244,3059500
2015-11-05,162.199997,162.479996,158.820007,161.220001,138.448471,2202400
2015-11-06,160.869995,160.869995,156.839996,160.460007,137.795822,3344000
2015-11-09,159.750000,160.610001,158.320007,159.630005,137.083038,2722200
2015-11-10,160.250000,161.169998,158.050003,158.369995,136.001022,2871300
2015-11-11,159.259995,159.570007,156.759995,156.860001,134.704300,1920400
2015-11-12,155.940002,157.699997,150.820007,150.979996,130.311096,4767200
2015-11-13,150.679993,153.520004,148.000000,151.550003,130.803131,3855000
2015-11-16,152.020004,154.779999,151.100006,154.500000,133.349213,2443200
2015-11-17,154.910004,159.130005,153.699997,157.600006,136.024841,3644300
2015-11-18,158.110001,161.119995,156.350006,160.919998,138.890335,2975800
2015-11-19,159.889999,161.520004,158.830002,159.490005,137.656113,2041000
2015-11-20,160.740005,161.339996,159.550003,159.910004,138.018616,2728000
2015-11-23,159.630005,163.130005,159.630005,162.470001,140.228149,4168400
2015-11-24,161.009995,163.339996,161.000000,162.779999,140.495712,3687000
2015-11-25,163.050003,164.589996,162.710007,163.949997,141.505554,2134200
2015-11-27,164.759995,165.000000,163.139999,163.520004,141.134399,1052400
2015-11-30,163.490005,164.000000,160.360001,161.100006,139.045685,2982600
2015-12-01,162.710007,163.429993,160.520004,161.979996,139.805206,2429000
2015-12-02,161.619995,162.389999,160.100006,160.520004,138.545120,2871600
2015-12-03,160.270004,160.520004,153.710007,154.649994,133.478683,4468600
2015-12-04,154.960007,161.949997,154.949997,161.429993,139.330505,3920900
2015-12-07,162.910004,162.970001,157.539993,158.300003,136.628983,3566700
2015-12-08,156.610001,160.669998,156.039993,159.350006,137.535294,2249200
2015-12-09,158.350006,159.809998,156.119995,157.889999,136.275162,2995600
2015-12-10,158.970001,160.850006,157.000000,159.669998,137.811447,2814000
2015-12-11,157.820007,158.779999,154.789993,155.149994,133.910217,3005700
2015-12-14,155.979996,158.339996,153.429993,158.110001,136.465042,2780600
2015-12-15,161.649994,164.449997,161.559998,162.619995,140.357620,5365600
2015-12-16,164.309998,165.229996,162.100006,164.580002,142.049316,3923600
2015-12-17,164.580002,164.990005,159.809998,161.429993,139.330505,3699400
2015-12-18,160.500000,161.820007,158.619995,158.800003,137.060562,6227000
2015-12-21,159.880005,160.380005,157.380005,159.279999,137.474823,3818900
2015-12-22,160.500000,163.369995,160.039993,162.300003,140.081421,3125500
